name,image,team,battingStyle,bowlingStyle,playingRole
AjinkyaRahane,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316620.png",Capitals,Right hand Bat,Right arm Medium,Top order Batter
ShahbazNadeem,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322700/322710.png",Sunrisers,Right hand Bat,Slow Left arm Orthodox,Bowler
TNatarajan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322600/322699.png",Sunrisers,Left hand Bat,Left arm Medium,Bowler
MarcoJansen,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/337100/337189.png",Mumbai,Right hand Bat,Left arm Medium fast,Bowling Allrounder
BenStokes,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/319700/319748.png",Royals,Left hand Bat,Right arm Fast medium,Allrounder
ChrisLynn,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/321500/321566.png",Mumbai,Right hand Bat,Slow Left arm Orthodox,Batter
ObedMcCoy,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322000/322031.png",Royals,Left hand Bat,Left arm Fast medium,Bowler
MatthewWade,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316500/316594.png",Titans,Left hand Bat,Right arm Medium,Wicketkeeper Batter
YashDayal,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357400/357416.2.jpg",Titans,Right hand Bat,Left arm Medium fast,Bowler
SaiKishore,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/362500/362558.4.jpg",Titans,Left hand Bat,Slow Left arm Orthodox,Bowler
DushmanthaChameera,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/319800/319862.png",Super Giants,Right hand Bat,Right arm Fast,Bowler
MohsinKhan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/359700/359759.png",Super Giants,Left hand Bat,Left arm Medium fast,Bowler
AlzarriJoseph,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/321900/321943.png",Titans,Right hand Bat,Right arm Fast,Bowler
RomarioShepherd,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322000/322037.png",Sunrisers,Right hand Bat,Right arm Fast medium,Bowling Allrounder
JiteshSharma,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1000.png,Punjab Kings,Right hand Bat,Not Available,Wicketkeeper Batter
PrerakMankad,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/998.png,Punjab Kings,Right hand Bat,Right arm Medium,Allrounder
FazalhaqFarooqi,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/345000/345077.png",Sunrisers,Right hand Bat,Left arm Fast medium,Bowler
MitchellMarsh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316612.png",Capitals,Right hand Bat,Right arm Medium,Allrounder
RovmanPowell,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322100/322172.png",Capitals,Right hand Bat,Right arm Medium fast,Middle order Batter
KuldeepYadav,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/319900/319943.png",Capitals,Left hand Bat,Left arm Wrist spin,Bowler
DewaldBrevis,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/335100/335134.png",Mumbai,Right hand Bat,Legbreak,Batting Allrounder
TilakVarma,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/314700/314790.jpg",Mumbai,Left hand Bat,Right arm Offbreak,Batting Allrounder
RamandeepSingh,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357800/357844.1.png",Mumbai,Right hand Bat,Right arm Medium,Middle order Batter
HrithikShokeen,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/359700/359772.png",Mumbai,Right hand Bat,Right arm Offbreak,Bowler
DevonConway,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/321200/321214.png",Super Kings,Left hand Bat,Right arm Medium,Wicketkeeper Batter
NarayanJagadeesan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/339100/339153.png",Super Kings,Right hand Bat,Not Available,Opening Batter
MitchellSantner,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/319700/319792.png",Super Kings,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
SimarjeetSingh,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356835.1.png",Super Kings,Right hand Bat,Right arm Medium fast,Bowler
MukeshChoudhary,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356834.1.png",Super Kings,Left hand Bat,Left arm Medium,Bowler
MatheeshaPathirana,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/355400/355402.png",Super Kings,Right hand Bat,Right arm Fast,Bowler
PrashantSolanki,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356836.1.png",Super Kings,Right hand Bat,Legbreak,Bowler
AbhijeetTomar,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/341000/341044.png",KKR,Right hand Bat,Right arm Offbreak,Opening Batter
SamBillings,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322900/322932.png",KKR,Right hand Bat,Not Available,Wicketkeeper Batter
RinkuSingh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/341000/341043.png",KKR,Left hand Bat,Right arm Offbreak,Middle order Batter
UmeshYadav,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316667.png",KKR,Right hand Bat,Right arm Fast,Bowler
KrishnappaGowtham,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356850.1.png",Super Giants,Right hand Bat,Right arm Offbreak,Bowling Allrounder
TristanStubbs,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/348500/348577.png",Mumbai,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
SanjayYadav,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/362300/362338.4.jpg",Mumbai,Left hand Bat,Slow Left arm Orthodox,Allrounder
BhanukaRajapaksa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/340300/340306.png",Punjab Kings,Left hand Bat,Right arm Medium,Top order Batter
RishiDhawan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322600/322604.png",Punjab Kings,Right hand Bat,Right arm Medium fast,Allrounder
AyushBadoni,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/985.png,Super Giants,Right hand Bat,Right arm Offbreak,Batter
ShashankSingh,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/314900/314914.jpg",Sunrisers,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batting Allrounder
MaheeshTheekshana,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/347800/347825.png",Super Kings,Right hand Bat,Right arm Offbreak,Bowler
KumarKartikeya,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/359700/359773.png",Mumbai,Right hand Bat,"Slow Left arm Orthodox, Left arm Wrist spin",Bowler
Rassie van derDussen,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322000/322070.png",Royals,Right hand Bat,Legbreak,Top order Batter
KuldeepSen,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1005.png,Royals,Right hand Bat,Right arm Fast,Bowler
KaranSharma,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/359700/359761.png",Super Giants,Right hand Bat,Right arm Offbreak,Allrounder
SheldonJackson,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/341000/341037.png",KKR,Right hand Bat,Not Available,Wicketkeeper Batter
BabaIndrajith,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/362300/362370.4.jpg",KKR,Right hand Bat,Legbreak Googly,Top order Batter
AaronFinch,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316500/316533.png",KKR,Right hand Bat,Slow Left arm Orthodox,Top order Batter
AnukulRoy,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/341000/341041.png",KKR,Left hand Bat,Slow Left arm Orthodox,Allrounder
HarshitRana,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/358000/358042.png",KKR,Right hand Bat,Right arm Fast,Bowler
SaiSudharsan,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/361800/361891.1.png",Titans,Left hand Bat,Legbreak,Top order Batter
PradeepSangwan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/340300/340314.png",Titans,Right hand Bat,Left arm Medium,Bowler
SeanAbbott,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/321600/321601.png",Sunrisers,Right hand Bat,Right arm Fast medium,Bowling Allrounder
DwainePretorius,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322000/322077.png",Super Kings,Right hand Bat,Right arm Medium fast,Bowling Allrounder
KarunNair,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322200/322267.png",Royals,Right hand Bat,Right arm Offbreak,Top order Batter
DarylMitchell,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/321200/321212.png",Royals,Right hand Bat,Right arm Medium,Batting Allrounder
AbhinavManohar,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/974.png,Titans,Right hand Bat,Legbreak Googly,Batting Allrounder
SuyashPrabhudessai,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/359700/359758.png",RCB,Right hand Bat,Right arm Medium,Batting Allrounder
VaibhavArora,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357000/357019.1.png",Punjab Kings,Right hand Bat,Right arm Fast medium,Bowler
OdeanSmith,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/351800/351853.png",Punjab Kings,Right hand Bat,Right arm Fast medium,Bowling Allrounder
TymalMills,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/323100/323104.png",Mumbai,Right hand Bat,Left arm Fast,Bowler
AmanHakimKhan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/341000/341035.png",KKR,Right hand Bat,Right arm Medium,Allrounder
BasilThampi,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/309000/309057.jpg",Mumbai,Right hand Bat,Right arm Fast medium,Bowler
AkashDeep,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/340300/340311.png",RCB,Right hand Bat,Right arm Fast medium,Bowling Allrounder
DarshanNalkande,https://www.espncricinfo.com/cricketers/darshan-nalkande-1111917,Titans,Right hand Bat,Right arm Fast medium,Bowler
RasikhSalam,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/341000/341040.png",KKR,Right hand Bat,Right arm Medium,Bowler
DavidWilley,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322900/322904.png",RCB,Left hand Bat,Left arm Fast medium,Bowling Allrounder
AndrewTye,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322900/322904.png",Super Giants,Right hand Bat,Right arm Medium fast,Bowler
SherfaneRutherford,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322100/322173.png",RCB,Left hand Bat,Right arm Fast medium,Middle order Batter
VarunAaron,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322600/322609.png",Titans,Right hand Bat,Right arm Fast,Bowler
RajBawa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/339100/339156.png",Punjab Kings,Left hand Bat,Right arm Medium fast,Allrounder
TusharDeshpande,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/339100/339160.png",Super Kings,Left hand Bat,Right arm Medium,Bowler
NoorAhmad,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/372500/372590.1.png",Titans,Right hand Bat,Left arm Wrist spin,Bowler
JoshLittle,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/367800/367860.png",Titans,Right hand Bat,Left arm Fast medium,Bowler
MohitSharma,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316700/316702.png",Titans,Right hand Bat,Right arm Medium,Bowler
NehalWadhera,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357800/357843.1.png",Mumbai,Left hand Bat,Legbreak,Top order Batter
CameronGreen,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/321500/321569.png",Mumbai,Right hand Bat,Right arm Fast medium,Batting Allrounder
VishnuVinod,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/359700/359774.png",Mumbai,Right hand Bat,Not Available,Wicketkeeper Batter
JasonBehrendorff,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/321500/321589.png",Mumbai,Right hand Bat,Left arm Fast medium,Bowler
AkashMadhwal,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/314900/314988.png",Mumbai,Right hand Bat,Right arm Medium fast,Bowler
KyleMayers,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322000/322024.png",Super Giants,Left hand Bat,Right arm Medium,Batting Allrounder
Naveen-ul-Haq,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/320500/320502.png",Super Giants,Right hand Bat,Right arm Medium fast,Bowler
YashThakur,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356700/356790.1.png",Super Giants,Right hand Bat,Right arm Fast medium,Bowler
DasunShanaka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/328000/328058.png",Titans,Right hand Bat,Right arm Medium,Allrounder
MichaelBracewell,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/346200/346245.png",RCB,Left hand Bat,Right arm Offbreak,Batting Allrounder
WayneParnell,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/346200/346245.png",RCB,Left hand Bat,Left arm Medium fast,Bowler
VijaykumarVyshak,https://crictoday.com/wp-content/uploads/2024/01/Untitled-design-2024-01-12T103449.539-1.webp,RCB,Right hand Bat,Right arm Medium,Bowler
HimanshuSharma,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/357600/357624.4.jpg",RCB,Right hand Bat,Legbreak,Bowler
VivrantSharma,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1942.png,Sunrisers,Left hand Bat,Legbreak Googly,Allrounder
HeinrichKlaasen,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322000/322073.png",Sunrisers,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
HarryBrook,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/324200/324246.png",Sunrisers,Right hand Bat,Right arm Medium,Batter
SanvirSingh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/359700/359765.png",Sunrisers,Right hand Bat,Right arm Medium,Allrounder
NitishKumarReddy,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/314800/314899.png",Sunrisers,Right hand Bat,Right arm Medium fast,Batting Allrounder
MayankDagar,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/356800/356822.1.png",Sunrisers,Right hand Bat,Slow Left arm Orthodox,Bowler
RahmanullahGurbaz,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/320500/320504.png",KKR,Right hand Bat,Not Available,Wicketkeeper Batter
SuyashSharma,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/358000/358041.png",KKR,Right hand Bat,Legbreak Googly,Bowler
PhilSalt,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/324200/324245.png",Capitals,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
RileeRossouw,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316651.png",Capitals,Left hand Bat,Right arm Offbreak,Top order Batter
YashDhull,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/339100/339162.png",Capitals,Right hand Bat,Right arm Offbreak,Top order Batter
AtharvaTaide,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/358000/358044.png",Punjab Kings,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder
DhruvJurel,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/340300/340310.png",Royals,Right hand Bat,Not Available,Wicketkeeper Batter
AdamZampa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/321500/321549.png",Royals,Right hand Bat,Legbreak Googly,Bowler
KarnSharma,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/324200/324221.png",RCB,Left hand Bat,Legbreak Googly,Bowler
MukeshKumar,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/373900/373907.png",Capitals,Right hand Bat,Right arm Medium,Bowler
SwapnilSingh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/358000/358047.png",Super Giants,Right hand Bat,Slow Left arm Orthodox,Bowler
JoeRoot,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316639.png",Royals,Right hand Bat,"Right arm Offbreak, Legbreak",Top order Batter
SikandarRaza,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316632.png",Punjab Kings,Right hand Bat,Right arm Offbreak,Batting Allrounder
PraveenDubey,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/310700/310753.jpg",Capitals,Right hand Bat,Legbreak Googly,Bowler
YudhvirSingh,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/314700/314789.jpg",Super Giants,Right hand Bat,Right arm Medium fast,Bowler
ArshadKhan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/326400/326499.png",Mumbai,Left hand Bat,Left arm Medium,Bowler
JofraArcher,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322900/322929.png",Mumbai,Right hand Bat,Right arm Fast,Bowler
RaghavGoyal,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/359700/359771.png",Mumbai,Left hand Bat,Left arm Wrist spin,Bowler
MatthewShort,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/179400/179415.1.jpg",Punjab Kings,Right hand Bat,Right arm Offbreak,Top order Batter
AkealHosein,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/321900/321939.png",Sunrisers,Left hand Bat,Slow Left arm Orthodox,Bowler
DavidWiese,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322000/322079.png",KKR,Right hand Bat,Right arm Medium fast,Allrounder
GurnoorBrar,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/359700/359764.png",Punjab Kings,Left hand Bat,Right arm Fast,Bowler
ArjunTendulkar,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/359700/359770.png",Mumbai,Left hand Bat,Left arm Medium fast,Bowler
KulwantKhejroliya,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/358000/358043.png",KKR,Left hand Bat,Left arm Medium fast,Bowler
AbdulBasith,https://www.mykhel.com/thumb/220x100x220/cricket/players/8/15228.1681814749.jpg,Royals,Right hand Bat,Right arm Offbreak,Allrounder
HarpreetSingh,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/314900/314906.jpg",Punjab Kings,Left hand Bat,Right arm Medium,Batter
LittonDas,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/319700/319727.png",KKR,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
DuanJansen,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/366300/366302.png",Mumbai,Right hand Bat,Left arm Fast,Bowler
MarkWood,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/316600/316660.png",Super Giants,Right hand Bat,Right arm Fast,Bowler
AbishekPorel,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/ipl/IPLHeadshot2023/1580.png,Capitals,Left hand Bat,Not Available,Wicketkeeper Batter
SisandaMagala,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/324200/324217.png",Super Kings,Right hand Bat,Right arm Fast medium,Bowler
MohitRathee,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/359700/359760.png",Punjab Kings,Right hand Bat,Legbreak,Allrounder
RajvardhanHangargekar,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/339100/339157.png",Super Kings,Right hand Bat,Right arm Fast medium,Bowling Allrounder
ReeceTopley,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320/lsci/db/PICTURES/CMS/322900/322910.png",RCB,Right hand Bat,Left arm Fast medium,Bowler
